(-183, -259)
(-299, -111)
(-41, -272)
(298, 97)
(-38, -325)
(197, -72)
(118, -339)
(79, -284)
(185, 395)
(-324, -302)
(-350, -88)
(-275, -159)
(-163, 98)
(-276, 327)
(-377, -202)
(177, 285)
(365, 149)
(370, 287)
(85, -227)
(-260, -244)
(-68, 284)
(-80, -176)
(310, 166)
(-179, 131)
(88, -149)
(340, 297)
(-163, -143)
(-384, -285)
(-377, -400)
(304, 302)
(-304, 171)
(-255, -209)
(-159, -292)
(307, -54)
(279, -353)
(-399, 293)
(-328, -94)
(257, -264)
(140, -157)
(42, -103)
(-210, 293)
(-249, -127)
(-148, 226)
(352, 359)
(322, -64)
(-262, -234)
(148, -63)
(-192, 281)
(-395, 58)
(-364, 369)
(5, 343)
(-89, -303)
(310, -87)
(-312, 188)
(-243, -234)
(309, -251)
(85, 372)
(92, 347)
(30, -79)
(345, -156)
