S1 : 0 -> 96 : FROM START TO END
S2 : 83 -> 93 : FROM S1 TO S1
S3 : 91 -> 94 : FROM S1 TO S1
S4 : 85 -> 94 : FROM S2 TO S1
S5 : 31 -> 48 : FROM S1 TO S1
S6 : 81 -> 90 : FROM S1 TO S2
S7 : 83 -> 93 : FROM S6 TO S4
S8 : 83 -> 95 : FROM S6 TO S1
S9 : 91 -> 94 : FROM S8 TO S1
S10 : 5 -> 22 : FROM S1 TO S1
S11 : 37 -> 50 : FROM S1 TO S1
S12 : 40 -> 90 : FROM S11 TO S8
S13 : 38 -> 85 : FROM S5 TO S12
S14 : 88 -> 91 : FROM S6 TO S8
S15 : 5 -> 38 : FROM S1 TO S1
S16 : 49 -> 69 : FROM S11 TO S13
S17 : 75 -> 85 : FROM S13 TO S1
S18 : 59 -> 88 : FROM S13 TO S1
S19 : 89 -> 94 : FROM S2 TO S1
S20 : 32 -> 59 : FROM S1 TO S13
S21 : 93 -> 95 : FROM S9 TO S1
S22 : 82 -> 94 : FROM S17 TO S1
S23 : 49 -> 87 : FROM S13 TO S6
S24 : 58 -> 75 : FROM S16 TO S18
S25 : 18 -> 29 : FROM S1 TO S15
S26 : 90 -> 92 : FROM S19 TO S7
S27 : 11 -> 63 : FROM S10 TO S24
S28 : 47 -> 78 : FROM S5 TO S13
S29 : 89 -> 94 : FROM S12 TO S8
S30 : 27 -> 37 : FROM S1 TO S20
S31 : 93 -> 95 : FROM S8 TO S1
S32 : 56 -> 91 : FROM S28 TO S7
S33 : 91 -> 95 : FROM S8 TO S1
S34 : 35 -> 81 : FROM S30 TO S17
S35 : 21 -> 57 : FROM S1 TO S1
S36 : 43 -> 88 : FROM S34 TO S1
S37 : 92 -> 95 : FROM S19 TO S1
S38 : 90 -> 94 : FROM S19 TO S21
S39 : 92 -> 95 : FROM S33 TO S1
S40 : 27 -> 69 : FROM S1 TO S24
S41 : 61 -> 89 : FROM S24 TO S2
S42 : 89 -> 94 : FROM S8 TO S1
S43 : 60 -> 79 : FROM S18 TO S36
S44 : 59 -> 76 : FROM S12 TO S41
S45 : 18 -> 73 : FROM S1 TO S24
S46 : 32 -> 40 : FROM S30 TO S1
S47 : 87 -> 95 : FROM S6 TO S1
S48 : 76 -> 85 : FROM S17 TO S23
S49 : 12 -> 92 : FROM S10 TO S2
S50 : 32 -> 76 : FROM S1 TO S13
S51 : 49 -> 64 : FROM S36 TO S49
S52 : 61 -> 92 : FROM S44 TO S42
S53 : 93 -> 95 : FROM S37 TO S1
S54 : 25 -> 83 : FROM S35 TO S22
S55 : 4 -> 14 : FROM S1 TO S15
S56 : 23 -> 81 : FROM S25 TO S23
S57 : 23 -> 54 : FROM S25 TO S34
S58 : 89 -> 94 : FROM S14 TO S31
S59 : 85 -> 95 : FROM S2 TO S1
S60 : 13 -> 65 : FROM S1 TO S40
S61 : 76 -> 93 : FROM S28 TO S3
S62 : 84 -> 93 : FROM S7 TO S47
S63 : 77 -> 79 : FROM S17 TO S61
S64 : 77 -> 90 : FROM S23 TO S62
S65 : 35 -> 44 : FROM S1 TO S27
S66 : 40 -> 47 : FROM S57 TO S5
S67 : 93 -> 95 : FROM S38 TO S1
S68 : 93 -> 95 : FROM S19 TO S1
S69 : 60 -> 81 : FROM S45 TO S48
S70 : 16 -> 21 : FROM S1 TO S45
S71 : 88 -> 93 : FROM S8 TO S59
S72 : 11 -> 34 : FROM S10 TO S60
S73 : 92 -> 94 : FROM S7 TO S47
S74 : 63 -> 86 : FROM S23 TO S41
S75 : 35 -> 57 : FROM S1 TO S54
S76 : 41 -> 85 : FROM S40 TO S7
S77 : 91 -> 94 : FROM S58 TO S59
S78 : 82 -> 90 : FROM S18 TO S2
S79 : 69 -> 83 : FROM S43 TO S78
S80 : 32 -> 49 : FROM S1 TO S12
S81 : 42 -> 82 : FROM S65 TO S6
S82 : 93 -> 95 : FROM S39 TO S1
S83 : 74 -> 95 : FROM S24 TO S1
