A=9046 B=9901 C=9072 X=167764763 Y=5227605436 Z=45968984442 M=2329
A=9614 B=4428 C=8124 X=575584497 Y=8785888997 Z=84115456054 M=8132
A=9813 B=8399 C=5224 X=289579213 Y=1736235626 Z=68149557066 M=5990
A=4896 B=5896 C=9950 X=791175946 Y=4069024568 Z=39820419968 M=9173
A=6346 B=4112 C=6239 X=321390932 Y=1053021211 Z=16315507784 M=7834
A=9394 B=5186 C=5287 X=973861693 Y=2812138265 Z=35412961911 M=9220
A=8276 B=9682 C=8345 X=490183477 Y=4971045660 Z=86546573312 M=8450
A=4413 B=4835 C=6540 X=926059157 Y=6552300434 Z=95768632578 M=9782
A=7979 B=8352 C=6957 X=277339879 Y=9159760976 Z=44329414122 M=2396
A=2170 B=8048 C=9901 X=104694261 Y=7464945021 Z=70822449844 M=2345
A=8345 B=3313 C=7034 X=111001833 Y=6003849684 Z=90658033597 M=4167
A=5801 B=3068 C=7317 X=849188723 Y=6874294388 Z=27177514230 M=8475
A=4636 B=9240 C=7438 X=190246942 Y=9769475577 Z=56975431885 M=4953
A=6836 B=7635 C=9560 X=941502113 Y=8305720782 Z=78284434966 M=5037
A=7847 B=3125 C=6479 X=813244413 Y=6900171779 Z=98618976361 M=2672
A=3453 B=4660 C=5193 X=648852813 Y=6463937302 Z=97264868330 M=6597
A=5187 B=4912 C=7813 X=882813135 Y=3040149408 Z=47983301981 M=9571
A=8253 B=5397 C=6026 X=104034024 Y=3316707830 Z=90063644426 M=7975
A=8264 B=7175 C=9173 X=518275759 Y=6273634783 Z=54741016694 M=6384
A=2110 B=7696 C=7678 X=815881866 Y=6822125226 Z=10736906615 M=5660
A=9933 B=6692 C=5720 X=542715625 Y=1978019490 Z=67956200516 M=2656
A=2907 B=3012 C=6820 X=754196602 Y=7410839316 Z=71977484590 M=2813
A=5552 B=7405 C=9596 X=364263040 Y=9054541782 Z=46964719588 M=7918
A=4523 B=8273 C=7119 X=672146746 Y=5211371781 Z=20144559264 M=4499
A=4175 B=9001 C=9544 X=310537512 Y=5982732705 Z=45177518745 M=8790
A=4633 B=4020 C=6602 X=465260323 Y=9764597342 Z=49182694589 M=4404
A=5968 B=9662 C=9424 X=327413773 Y=3014746437 Z=32297374014 M=6469
A=4682 B=6381 C=5126 X=673405951 Y=1049739664 Z=54412519132 M=4949
A=7753 B=9945 C=7119 X=516202468 Y=8659758809 Z=60948178832 M=2186
A=9058 B=6773 C=6152 X=501761078 Y=5517413139 Z=28489913380 M=4323
A=4839 B=9267 C=6550 X=131468852 Y=4987366910 Z=73042910878 M=1341
A=4069 B=5042 C=7684 X=891914333 Y=3132221995 Z=39763248435 M=3181
A=6243 B=9015 C=6070 X=901327928 Y=9005379312 Z=46188671092 M=3932
A=7183 B=4488 C=9516 X=680349941 Y=2546670972 Z=21122516709 M=2777
A=3297 B=8294 C=9696 X=385941364 Y=3996105424 Z=80552924060 M=1134
A=9337 B=8465 C=6060 X=380608799 Y=9190115438 Z=55191800472 M=2553
A=6706 B=3956 C=6398 X=846814367 Y=7015320460 Z=21142175907 M=6917
A=3627 B=8634 C=7019 X=841459840 Y=5727635727 Z=71298365531 M=5198
A=6430 B=4130 C=6137 X=350612870 Y=7414577316 Z=19260190707 M=4636
A=7800 B=5099 C=5473 X=920159597 Y=2155528088 Z=19827122331 M=1556
A=8837 B=9303 C=9053 X=213066675 Y=5659548018 Z=65502149423 M=9438
A=6733 B=8263 C=5925 X=950113730 Y=1636481490 Z=86418217794 M=7927
A=9010 B=3769 C=9656 X=321896918 Y=1739483443 Z=82886364513 M=9213
A=4604 B=9900 C=7321 X=711692429 Y=2283069783 Z=29152336479 M=5327
A=3994 B=7512 C=5754 X=397856141 Y=5425065763 Z=30174707232 M=1272
A=3620 B=9121 C=8542 X=906461685 Y=6027521568 Z=53014878100 M=3418
A=7479 B=5651 C=9219 X=242713346 Y=2345552638 Z=15808641564 M=2296
A=5122 B=6605 C=7955 X=125499225 Y=5018528708 Z=99609655202 M=1618
A=5567 B=6944 C=9044 X=832584666 Y=5804495750 Z=58341253698 M=8687
A=2388 B=3111 C=5801 X=976105032 Y=8205435731 Z=52852912946 M=5220
A=9663 B=5783 C=9140 X=555445170 Y=3696917669 Z=84332340273 M=3766
A=2063 B=8308 C=9540 X=120445544 Y=6169272926 Z=32783864074 M=5611
A=2643 B=8017 C=5360 X=308181884 Y=2461689275 Z=35546121391 M=1121
A=9163 B=3737 C=5816 X=358654379 Y=7200582250 Z=79916210305 M=9439
A=8624 B=3630 C=6136 X=938818830 Y=9137569657 Z=33210499775 M=9867
A=9111 B=3893 C=7647 X=863942541 Y=5782442132 Z=78893153675 M=1590
A=3523 B=5794 C=7886 X=465641423 Y=3878408933 Z=79026371412 M=1224
A=2187 B=3092 C=6811 X=106039787 Y=3936760358 Z=73825907927 M=2697
A=9933 B=3609 C=6302 X=365412503 Y=9932197755 Z=94692226116 M=1980
A=8467 B=9272 C=5408 X=322252219 Y=1086153381 Z=82602816413 M=5769
A=5943 B=9489 C=7790 X=970953665 Y=3183150216 Z=47877255436 M=2742
A=2926 B=7058 C=6390 X=586337396 Y=5753399902 Z=29062782643 M=2824
A=2207 B=4177 C=7008 X=489066049 Y=2943934076 Z=55136749637 M=1165
A=2778 B=9363 C=9149 X=836665263 Y=3214500321 Z=76186845076 M=9428
A=9053 B=8179 C=8457 X=478851165 Y=3330989611 Z=96179169978 M=8709
A=6391 B=8362 C=5277 X=567043473 Y=4871760063 Z=66180719354 M=8757
A=4258 B=4263 C=6930 X=928977915 Y=3120230763 Z=81940010142 M=2582
A=3939 B=3770 C=8574 X=543128914 Y=8729074429 Z=48411333862 M=8984
A=2418 B=8603 C=7836 X=984665813 Y=1817462104 Z=19379779539 M=6037
A=5135 B=6702 C=8568 X=115138314 Y=8281909929 Z=77119188444 M=1888
A=2040 B=8050 C=8192 X=479953710 Y=8634543587 Z=45476626050 M=8636
A=2431 B=3912 C=6866 X=282990454 Y=4553588318 Z=81733718790 M=3734
A=8719 B=5647 C=8108 X=761743398 Y=5342309406 Z=67740491417 M=4365
A=6989 B=9408 C=5676 X=540974960 Y=8436537473 Z=83330197369 M=3001
A=4078 B=8571 C=7808 X=435723264 Y=7368874458 Z=21487279474 M=1626
A=5486 B=5612 C=8857 X=967663057 Y=7289295767 Z=59753977483 M=8795
A=9466 B=3169 C=9749 X=617397853 Y=1133128783 Z=91282987307 M=5266
A=6512 B=4807 C=7323 X=948542558 Y=5057556021 Z=91437747794 M=6413
A=6922 B=6112 C=5099 X=911873854 Y=9489874216 Z=79506949862 M=5560
A=2136 B=3027 C=9259 X=908950429 Y=1133010859 Z=33134971653 M=1630
A=8609 B=7072 C=6926 X=293320436 Y=6320547100 Z=55222307560 M=6943
A=4203 B=7788 C=8817 X=999604409 Y=1645888490 Z=54786992537 M=2702
A=8156 B=3606 C=8694 X=381708596 Y=4381808850 Z=66302359153 M=3697
