id=1, plug=BLACK SQUARE, leftSocket=RED SQUARE, rightSocket=BLUE SQUARE, data=---------------------
id=2, plug=BLUE SQUARE, leftSocket=WHITE TRIANGLE, rightSocket=BLUE HEXAGON, data=---------------------
id=3, plug=RED SQUARE, leftSocket=RED CIRCLE, rightSocket=RED SQUARE, data=--------3------------
id=4, plug=WHITE TRIANGLE, leftSocket=WHITE TRIANGLE, rightSocket=BLUE SQUARE, data=--------3------------
id=5, plug=BLUE HEXAGON, leftSocket=BLACK TRIANGLE, rightSocket=WHITE CIRCLE, data=-----------3---------
id=6, plug=RED SQUARE, leftSocket=RED PENTAGON, rightSocket=GREEN SQUARE, data=--------3------------
id=7, plug=RED CIRCLE, leftSocket=RED CIRCLE, rightSocket=WHITE CIRCLE, data=-----------3---------
id=8, plug=BLUE SQUARE, leftSocket=GREEN HEXAGON, rightSocket=RED PENTAGON, data=---------3-----------
id=9, plug=BLACK TRIANGLE, leftSocket=WHITE SQUARE, rightSocket=GREEN SQUARE, data=-------------3-------
id=10, plug=RED PENTAGON, leftSocket=BLACK CIRCLE, rightSocket=WHITE CIRCLE, data=---------3-----------
id=11, plug=GREEN SQUARE, leftSocket=RED PENTAGON, rightSocket=BLACK SQUARE, data=-----------3---------
id=12, plug=BLACK CIRCLE, leftSocket=RED CIRCLE, rightSocket=WHITE CIRCLE, data=---------3-----------
id=13, plug=GREEN SQUARE, leftSocket=GREEN PENTAGON, rightSocket=BLUE CIRCLE, data=------------3--------
id=14, plug=RED PENTAGON, leftSocket=BLUE PENTAGON, rightSocket=RED CIRCLE, data=------------3--------
id=15, plug=WHITE TRIANGLE, leftSocket=GREEN PENTAGON, rightSocket=RED PENTAGON, data=-----------3---------
id=16, plug=BLUE PENTAGON, leftSocket=BLACK TRIANGLE, rightSocket=WHITE TRIANGLE, data=-------------3-------
id=17, plug=GREEN HEXAGON, leftSocket=BLACK SQUARE, rightSocket=GREEN CIRCLE, data=---------3-----------
id=18, plug=WHITE TRIANGLE, leftSocket=GREEN CIRCLE, rightSocket=WHITE TRIANGLE, data=------------3--------
id=19, plug=GREEN PENTAGON, leftSocket=WHITE CIRCLE, rightSocket=WHITE CIRCLE, data=--------3------------
id=20, plug=BLUE CIRCLE, leftSocket=RED HEXAGON, rightSocket=BLUE PENTAGON, data=------------3--------
id=21, plug=RED PENTAGON, leftSocket=WHITE HEXAGON, rightSocket=BLUE PENTAGON, data=-----------3---------
id=22, plug=BLACK SQUARE, leftSocket=WHITE CIRCLE, rightSocket=WHITE PENTAGON, data=---------------------
id=23, plug=RED PENTAGON, leftSocket=BLUE PENTAGON, rightSocket=BLUE SQUARE, data=--------3------------
id=24, plug=BLACK TRIANGLE, leftSocket=BLUE TRIANGLE, rightSocket=BLACK HEXAGON, data=---------------------
id=25, plug=GREEN PENTAGON, leftSocket=RED HEXAGON, rightSocket=WHITE TRIANGLE, data=-------------3-------
id=26, plug=GREEN CIRCLE, leftSocket=BLACK SQUARE, rightSocket=GREEN CIRCLE, data=-------------3-------
id=27, plug=BLUE PENTAGON, leftSocket=GREEN TRIANGLE, rightSocket=BLUE SQUARE, data=-----------3---------
id=28, plug=WHITE CIRCLE, leftSocket=BLUE HEXAGON, rightSocket=GREEN HEXAGON, data=-----------3---------
id=29, plug=RED CIRCLE, leftSocket=GREEN TRIANGLE, rightSocket=BLUE HEXAGON, data=-----------3---------
