id=1, plug=BLUE STAR, leftSocket=BLUE OCTAGON, rightSocket=BLACK STAR, data=--------------------1
id=2, plug=BLACK PENTAGON, leftSocket=YELLOW OCTAGON, rightSocket=BLACK DIAMOND, data=---------------------
id=3, plug=BLACK STAR, leftSocket=WHITE PENTAGON, rightSocket=CYAN DIAMOND, data=---------------------
id=4, plug=WHITE TRIANGLE, leftSocket=GREEN PENTAGON, rightSocket=BLUE CIRCLE, data=---------------------
id=5, plug=YELLOW OCTAGON, leftSocket=MAGENTA DIAMOND, rightSocket=WHITE DIAMOND, data=-----3-3----2-2-----1
id=6, plug=GREEN PENTAGON, leftSocket=CYAN DIAMOND, rightSocket=GREEN STAR, data=--------------------1
id=7, plug=BLUE HEXAGON, leftSocket=GREEN CIRCLE, rightSocket=GREEN STAR, data=------3-3----2-2----1
id=8, plug=GREEN SQUARE, leftSocket=WHITE TRIANGLE, rightSocket=WHITE STAR, data=1--33-----22---------
id=9, plug=CYAN CIRCLE, leftSocket=WHITE CIRCLE, rightSocket=GREEN CIRCLE, data=---33-----22--------1
id=10, plug=CYAN PENTAGON, leftSocket=BLUE HEXAGON, rightSocket=BLACK PENTAGON, data=-----3-3----2-2-----1
id=11, plug=BLUE HEXAGON, leftSocket=YELLOW SQUARE, rightSocket=RED HEXAGON, data=1--------------------
id=12, plug=WHITE OCTAGON, leftSocket=WHITE PENTAGON, rightSocket=RED STAR, data=1---3-3----2-2-------
id=13, plug=BLUE HEXAGON, leftSocket=CYAN TRIANGLE, rightSocket=CYAN STAR, data=---------------------
id=14, plug=BLACK PENTAGON, leftSocket=YELLOW STAR, rightSocket=BLACK PENTAGON, data=--------------------1
id=15, plug=YELLOW HEXAGON, leftSocket=BLACK TRIANGLE, rightSocket=BLUE HEXAGON, data=1--------------------
id=16, plug=GREEN OCTAGON, leftSocket=RED DIAMOND, rightSocket=WHITE PENTAGON, data=---33-----22---------
id=17, plug=WHITE CIRCLE, leftSocket=BLUE OCTAGON, rightSocket=RED DIAMOND, data=1--------------------
id=18, plug=GREEN HEXAGON, leftSocket=CYAN PENTAGON, rightSocket=MAGENTA TRIANGLE, data=--------------------1
id=19, plug=BLUE STAR, leftSocket=GREEN TRIANGLE, rightSocket=BLACK PENTAGON, data=---------------------
id=20, plug=CYAN PENTAGON, leftSocket=YELLOW HEXAGON, rightSocket=GREEN DIAMOND, data=------3-3----2-2-----
