id=1, plug=WHITE DIAMOND, leftSocket=YELLOW TRIANGLE, rightSocket=BLUE HEXAGON, data=-------------------3-
id=2, plug=YELLOW HEXAGON, leftSocket=BLUE DIAMOND, rightSocket=BLUE CIRCLE, data=-----------------2---
id=3, plug=BLUE HEXAGON, leftSocket=GREEN OCTAGON, rightSocket=BLACK HEXAGON, data=-------1------3-----1
id=4, plug=BLACK HEXAGON, leftSocket=YELLOW OCTAGON, rightSocket=BLACK DIAMOND, data=---------------------
id=5, plug=BLUE HEXAGON, leftSocket=RED STAR, rightSocket=MAGENTA HEXAGON, data=-11111------33333----
id=6, plug=BLUE CIRCLE, leftSocket=WHITE CIRCLE, rightSocket=MAGENTA DIAMOND, data=---------------------
id=7, plug=BLACK OCTAGON, leftSocket=MAGENTA TRIANGLE, rightSocket=BLACK SQUARE, data=------1------3-------
id=8, plug=WHITE HEXAGON, leftSocket=YELLOW HEXAGON, rightSocket=MAGENTA DIAMOND, data=------1------3-------
id=9, plug=YELLOW STAR, leftSocket=WHITE HEXAGON, rightSocket=MAGENTA DIAMOND, data=-----1------3--------
id=10, plug=RED OCTAGON, leftSocket=BLUE HEXAGON, rightSocket=GREEN DIAMOND, data=-------1------3------
id=11, plug=MAGENTA HEXAGON, leftSocket=CYAN PENTAGON, rightSocket=BLUE OCTAGON, data=----1------3---------
id=12, plug=WHITE OCTAGON, leftSocket=WHITE HEXAGON, rightSocket=GREEN TRIANGLE, data=---------------------
id=13, plug=GREEN PENTAGON, leftSocket=WHITE HEXAGON, rightSocket=WHITE TRIANGLE, data=---------------------
id=14, plug=MAGENTA TRIANGLE, leftSocket=GREEN DIAMOND, rightSocket=MAGENTA HEXAGON, data=------1------3-------
id=15, plug=GREEN CIRCLE, leftSocket=YELLOW CIRCLE, rightSocket=WHITE OCTAGON, data=---1------3--------1-
id=16, plug=BLUE CIRCLE, leftSocket=YELLOW PENTAGON, rightSocket=MAGENTA OCTAGON, data=-1-1----3-3-----3---1
id=17, plug=WHITE STAR, leftSocket=CYAN TRIANGLE, rightSocket=BLUE CIRCLE, data=----1------3--------1
